Program,Provider,Category,What_you_get,Referral_needed,Priority,Wave,Apply_URL,Status,Deadline_or_Notes
Microsoft for Startups,Microsoft,Cloud credits,$200 instant + $5k self-serve; $100k-$150k via Investor Network,Optional (code = big money),P0,Day 1,https://startups.microsoft.com,Not applied,Personal MSA login only; 3-day review; credits tied to subscription
AWS Activate Founders,AWS,Cloud credits,$1000 (up to $5k over time) 1-2yr,No,P0,Day 1,https://aws.amazon.com/startups/credits/,Not applied,Founded <10y; website bot-scraped; 5-10 day review
Google Cloud Start tier,Google,Cloud credits,$2000 / 12mo + 12mo Workspace,No,P0,Day 1,https://cloud.google.com/startup/apply,Not applied,Founded <24mo; email=website=billing domain
NVIDIA Inception,NVIDIA,Vendor program,~75% off AI Enterprise + HW pricing + credit coupons,No,P0,Day 1,https://www.nvidia.com/en-us/startups/,Not applied,Deck upload REQUIRED; no gmail; free
Claude for Startups,Anthropic,AI credits,Membership now; $5k-$100k credits gated on institutional funding,No (partner tier = yes),P1,Day 1,https://claude.com/programs/startups,Not applied,Credits first-party API only; founded <4yr; one shot per company
Together AI Build tier,Together AI,Inference credits,Up to $15k + 3h engineering (selection-based),No,P1,Day 1,https://www.together.ai/startup-accelerator,Not applied,Raised <=$5M = Build tier
Cloudflare Tier 3,Cloudflare,Infra credits,$10k / 12mo,No,P0,Day 1,https://www.cloudflare.com/startups/,Not applied,Bootstrapped OK T3; one-time per company
Intercom Early Stage,Intercom,SaaS,93% off yr1 + $500k Fin startup pack,No,P1,Day 1,https://www.intercom.com/early-stage,Not applied,Raised <=$10M; <15 employees
Notion for Startups,Notion,SaaS,3 mo free Business+AI (6 mo via partner/Mercury),No,P2,Day 1,https://www.notion.com/startups,Not applied,Domain email required; non-paying customers only
MongoDB for Startups,MongoDB,SaaS/DB,Inspire tier Atlas credits + Voyage AI tokens,No,P2,Day 1,https://www.mongodb.com/solutions/startups,Not applied,<7yr old; Series A or earlier
Neon self-funded,Neon/Databricks,DB credits,Up to $1000 / 12mo,No,P2,Day 1,https://neon.com/startups,Not applied,Raised <$1M track
